uid,body,title,url,newspaper_uid,host,n_tokens_title,n_tokens_body
77307d0b75dcf5ff834e4718332d49ef,"El traslado de la sede operativa de la Unidad de Mantenimiento Vial (UMV), que duró más de 90 años funcionando en el barrio Veraguas, de la localidad de Los Mártires, derivó en un pleito jurídico que enreda a la entidad. ",La UMV responde a polémica por el traslado de su sede operativa,https://www.eltiempo.com/bogota/la-umv-responde-a-polemica-por-el-traslado-de-su-sede-operativa-422832,eltiempo,www.eltiempo.com,6,19
b317c5b66c40e98b5db1be8b9c0cac41,"El fotógrafo Saurav Anuraj está en 'el ojo del huracán' por haber realizado una sesión de fotos de Moda, con una estudiante llamada Aditi Singh como modelo, precisamente en Patna (Bihar, India) y durante las inundaciones ocasionadas la semana pasada por lluvias torrenciales que han dejado al menos 59 muertos en el norte del país asiático.",Indignación por sesión de fotos de modelo en medio de una inundación,https://www.eltiempo.com/mundo/asia/asia-422466,eltiempo,www.eltiempo.com,6,31
bece5a84f8a82d4c31a5d035fc464bc6,"Los jugadores del Real Madrid Gareth Bale y Luka Modric acabaron lesionados el encuentro entre Gales y Croacia, disputado en Cardiff, de la fase de clasificación para la Eurocopa 2020. Sin conocerse la gravedad de las lesiones, el colombiano James Rodríguez, quien se encuentra entrenando con el equipo en el parón Fifa, podría ser el remplazo de alguno de estos dos jugadores.","James, la solución a un nuevo dolor de cabeza para Real Madrid",https://www.eltiempo.com/deportes/futbol-internacional/modric-y-bale-se-lesionaron-y-james-rodriguez-podria-ser-titular-con-real-madrid-422818,eltiempo,www.eltiempo.com,7,34
fdf03e3b407a04c7e60199274fd7e6cc,"El presidente de Ecuador, Lenín Moreno, y el movimiento indígena, alcanzaron este domingo un acuerdo para poner fin a las protestas que estallaron hace 12 días, tras la decisión del gobierno de derogar el decreto que eliminaba subsidios a los combustibles. ""Con este acuerdo se terminan las movilizaciones y medidas de hecho en todo el Ecuador y nos comprometemos de manera conjunta a restablecer la paz en el país"", señala el acuerdo leído por Arnaud Peral, representante en  Ecuador de la ONU, que medió en la crisis junto a la Iglesia católica.",Indígenas en Ecuador tumban la eliminación del subsidio a la gasolina,https://www.eltiempo.com/mundo/latinoamerica/lenin-moreno-e-indigenas-logran-acuerdo-para-poner-fin-a-protestas-422926,eltiempo,www.eltiempo.com,6,48
770527273b3f2f95519e5f5f1f1a4de6,"Desde que Colombia es patria, quienes hemos crecido aquí lo hemos hecho entre una guerra y otra, o también hemos coincidido con los tiempos violentos, en medio de conflictos armados o como quiera que se le llame al hecho de matarnos unos a otros, con razón o sin ella.","El amor, otro sobreviviente del conflicto",https://www.eltiempo.com/cultura/musica-y-libros/vanessa-de-la-torre-lanza-el-libro-historias-de-amor-en-campos-de-guerra-422916,eltiempo,www.eltiempo.com,3,17
77960448b8f68bcb4b6b1f02deeed206,"Al menos 35 personas murieron tras el paso del devastador tifón Hagibis en Japón, indicó la prensa local este domingo, mientras bomberos y soldados socorrían a los habitantes atrapados por las numerosas inundaciones. Más de 100.000 rescatistas, incluyendo 31.000 soldados, trabajaron durante toda la noche en el auxilio de personas atrapadas, después de que las lluvias torrenciales causaran corrimientos de tierra y el desbordamiento de ríos. El gobierno dio cuenta de un balance de 14 fallecidos y 11 desaparecidos, pero la prensa local informó que al menos 35 personas habían perecido y que 11 seguían desaparecidas. ",Al menos 35 muertos en Japón por el paso del tifón Hagibis,https://www.eltiempo.com/mundo/asia/tifon-hagibis-deja-muerte-y-destruccion-tras-su-paso-por-japon-422828,eltiempo,www.eltiempo.com,6,52
6913e42c5cf8dbaef5494c55e9d87e40,"""Monja uribista, fuera de la Miniorista"". Con esta arenga, varios empleados de la plaza de mercado La Minorista de Medellín abuchearon a Adriana Torres, la supuesta religiosa que se declaró seguidora del senador Álvaro Uribe. En un video que circula en redes sociales se ve a Torres con su habitual hábito llevando un carrito de mercado con verduras y otros víveres adentro. Mientras camina por los corredores de la plaza de mercado, varias personas le gritan que se vaya del lugar.",Video: así fue recibida 'monja uribista' en su reaparición en Medellín,https://www.eltiempo.com/colombia/medellin/recibimiento-de-monja-uribista-en-su-reaparicion-en-medellin-422102,eltiempo,www.eltiempo.com,6,44
078f9afda7e462c76baa8be7dfa85462,"Las marchas estudiantiles no cesan. Y lo que más incomoda a la ciudadanía es que no son pacíficas. Todas las que se han realizado, sin excepción, confluyen con desórdenes, pedreas, choques con la Policía, muchas veces heridos y siempre, graves destrozos en establecimientos comerciales y edificaciones públicas. En el último mes, según el dato oficial del Ministerio de Educación, se han presentado 35 movilizaciones estudiantiles solo en Bogotá. En el campo del magisterio, los paros este año han sido 7.(Le puede interesar: Mineducación defendió 10 de los acuerdos con el sector educativo)",‘El Gobierno ha cumplido con los acuerdos’: Mineducación,https://www.eltiempo.com/vida/educacion/el-gobierno-ha-cumplido-con-los-acuerdos-mineducacion-422614,eltiempo,www.eltiempo.com,4,48
b8e7f7bdca4440a411093274a5d26c69,"En medio de la polémica por  el cambio del quinto jugador para las finales de la Copa Davis, que se jugarán en noviembre en Madrid, EL TIEMPO conoció cómo fue que se dio la salida de Nicolás Mejía y el ingreso de Alejandro González.",Capitán de equipo de la Davis habla de la salida de Mejía,https://www.eltiempo.com/deportes/tenis/declaraciones-de-pablo-gonzalez-capitan-de-colombia-en-copa-davis-423000,eltiempo,www.eltiempo.com,6,21
83999fc9aba8906fb100d7963b96bdf0,"Hace 7 años, cuando apareció la lista que premia a los 50 Mejores Restaurantes de América Latina, conocida como ‘50 Best’ –que a su vez está inspirada en la lista mundial que ya tiene 16 años–, los 25 primeros puestos fueron ocupados por restaurantes “a manteles”, si es que en Latinoamérica se pueda cumplir ese concepto a cabalidad.Sin embargo, desde el año pasado, el foco de selección cambió. Hoy, los 252 votantes, que en su gran mayoría son periodistas especializados y cocineros –más uno que otro sibarita que incluye la organización–, han puesto sus ojos en otro tipo de locales que responden a parámetros muchísimo más amplios y que favorecen a los restaurantes casuales e, incluso, a los tradicionales.",Colombia y los ‘50 Best’ / Buena Muela,https://www.eltiempo.com/cultura/gastronomia/colombia-y-los-50-best-columna-de-mauricio-silva-422866,eltiempo,www.eltiempo.com,4,53
